,sentence1,sentence2,score
359,갈색 테이블 위에 누워 있는 회색 고양이.,회색 고양이가 나무 탁자 위에 누워 있다.,4.2
360,오토바이가 밖에 있는 차 옆에 주차되어 있었다.,자동차 옆에 주차된 오토바이.,4.4
364,필립스 평면 TV는 두 개의 리모컨과 함께 보인다.,두 개의 리모컨이 있는 필립스 평면 TV.,5.0
369,두 남자가 비행기 앞에서 이야기하고 있다.,두 남자가 작은 비행기 앞에서 이야기하고 있다.,4.4
371,그 기차는 기차역에 있다.,기차역에 주차된 기차,4.6
386,세 사람이 유니온 잭처럼 칠해진 건물 밖에 있는 피크닉 테이블에 앉아 있다.,세 사람이 유니온 잭처럼 칠해진 건물 앞에 있는 야외 테이블에 앉아 있다.,4.8
390,새가 물 위를 가로질러 날고 있다.,새가 물 위로 날아간다.,4.8
397,개가 들판을 달려가고 있다.,개가 들판을 달려간다.,4.8
410,풀밭에서 뛰는 소년과 흰 개,소년과 개가 잔디밭에서 뛰어다니는 것,4.4
411,두 소년이 깃발 축구 경기를 하고 있다.,두 소년이 깃발 축구를 하고 있다.,5.0
413,한 백인 소년과 한 흑인 소년이 서로 팔을 두르고 서 있습니다.,"두 명의 어린 소년, 한 명의 백인과 한 명의 흑인이 서로 팔을 두르고 서 있습니다.",4.8
417,세 명의 아이들이 장난감을 가지고 바닥에서 놀고 있다.,세 명의 아이들이 바닥에 앉아 여러 개의 장난감을 가지고 놀고 있다.,4.2
418,두 마리의 개가 마당에서 놀고 있다.,두 마리의 개가 잔디 위에서 놀고 있다.,4.6
420,네 명의 아이들이 트램폴린에서 놀고 있다.,네 명의 아이들이 트램폴린을 타고 뛰어오르고 있다.,4.6
422,검은 개가 물속으로 뛰어들고 있다.,검은 개가 물속을 달리고 있다.,4.6
427,개가 물속으로 뛰어든다.,개가 물속으로 뛰어들고 있다.,5.0
429,해변에 있는 바위 위에 남자와 개 한 마리.,바위투성이 해안에 있는 한 남자와 개,4.6
431,두 마리의 개가 들판에서 뛰고 있다.,들판에서 달리는 두 마리의 개,5.0
437,갈색 개 두 마리가 물속을 달린다.,물속을 달리는 갈색 개 두 마리,4.6
439,암벽을 오르는 남자,한 남자가 암벽을 오르고 있다.,4.6
444,두 마리의 개가 집과 나무 근처의 잔디밭을 뛰어다니고 있다.,두 마리의 개가 녹색 마당을 달리고 있다,4.2
454,서퍼가 파도에서 뒤집기를 한다.,서퍼는 파도 위에서 뒤집기를 한다.,4.8
457,소년은 풀밭에 배를 대고 누워있다.,작은 소년은 풀밭에 배를 대고 엎드린 채 누워 있었다.,4.4
468,금발 머리의 아기가 타이어 그네를 타고 흔들고 있다.,금발의 아이가 타이어 그네를 타고 흔들고 있다.,4.8
471,노란 차는 눈 덮인 들판을 따라 속도를 내고 있다.,노란 자동차가 눈 속에서 빠르게 운전한다.,4.4
473,한 소년이 그네에 탄 다른 소년을 밀어 주고 있다.,한 소년이 그네에 탄 다른 소년을 밀어 주고 있다.,4.8
480,두 마리의 검은 개가 잔디 위에서 놀고 있다.,두 마리의 검은 개가 풀이 무성한 평원에서 놀고 있다.,4.6
482,검은 옷을 입은 남자가 파도를 타고 서핑을 하고 있다.,검은 잠수용 옷을 입은 서퍼가 바다에서 하얀 파도를 타고 있다.,4.6
489,트랙에서 달리는 한 남자,트랙을 달리는 한 남자,5.0
497,한 남자가 밝은 색의 집들을 지나 푸른 배를 몰고 지나간다.,파란 배를 운전하는 한 남자가 화려한 집들을 지나간다.,5.0
499,사슴이 울타리를 뛰어넘다.,사슴이 울타리를 뛰어넘고 있다.,5.0
505,깊은 생각에 잠긴 젊은이.,깊은 생각에 잠긴 젊은이.......,4.6
544,두 여성이 르네상스 박람회에서 시연을 보여준다.,두 사람이 르네상스 박람회에서 시위를 보여주고 있다.,4.2
545,소파에 앉아 텔레비전을 보고 있는 어떤 남자.,한 남자가 소파에 앉아 TV를 보고 있다,5.0
548,한 소녀가 휴대폰으로 아빠와 이야기를 나누고 있다.,한 소녀가 전화기로 통화하고 있다.,4.4
549,한 사람이 우산을 휘두른다.,한 사람이 우산을 들고 있다.,4.4
558,음식을 준비하고 있는 요리사가 있다.,요리사가 음식을 만들고 있다.,5.0
566,사람들이 방에 모였다.,사람들이 한 방에 함께 모여들었다.,5.0
576,더러운 옷을 깨끗이 하는 사람들,사람들이 옷을 깨끗이 하고 있다.,5.0
587,한 남자가 여자와 웃고 있다,웃고 있는 한 남자와 여자.,4.8
599,한 무리의 사람들이 해변에 수건 위에 앉아 푸른 천사들을 보고 있습니다.,한 무리의 사람들이 해변에 앉아 푸른 천사들을 보고 있습니다.,4.2
602,스쿠터 한 줄이 거리 한가운데에 주차하고 있다.,한 줄의 오토바이들이 거리 한가운데에 주차되어 있다.,4.4
610,사람들이 마라톤을 하고 있다,사람들이 마라톤을 하고 있다,5.0
619,한 아이가 밖에 있는 축구공에 앉아 있다.,공원에서 축구공에 앉아 있는 한 아이,4.2
623,갈색 개가 뛰어오르고 있다.,갈색 개가 뛰어오르고 있다,5.0
631,너는 걱정할 필요 없어.,너는 걱정할 필요 없어.,5.0
636,너도 할 수 있어.,"그래, 넌 할 수 있어.",5.0
645,"두 질문에 대한 답은 ""그렇다""이다.","당신의 두 질문에 대한 답은 ""예""입니다.",5.0
656,너희들은 이 모든 것을 너무 복잡하게 만들고 있어.,당신은 이것을 너무 복잡하게 만들고 있다.,5.0
664,그것은 좋은 생각이 아니야.,그것은 좋은 생각이 아니다.,5.0
668,이것들 좀 보세요,이것 좀 보세요,5.0
671,이것은 좋은 생각이 아니다.,하지만 그것은 좋은 생각이 아니다.,5.0
673,나는 비슷한 상황에 처해 있었다.,나는 비슷한 상황을 겪었다.,5.0
674,나도 이런 같은 문제를 겪었어.,나도 이런 같은 문제를 겪었어.,5.0
692,당신은 당신 자신의 질문에 대답했어요.,당신은 당신 자신의 질문에 대답했습니다.,5.0
710,나는 왜 이 이것에 문제가 있어야 하는지 모르겠다.,나는 왜 그것이 문제가 되어야 하는지 모르겠다.,5.0
719,그것은 전혀 차이를 만들지 않는다.,"아니, 그것은 아무런 차이도 만들지 않는다.",5.0
720,나는 이 질문을 하는 것이 괜찮다고 생각한다.,나는 그 질문을 해도 괜찮다고 생각한다.,5.0
724,그것에 대해 당신이 할 수 있는 것은 많지 않다.,유감스럽게도 당신이 할 수 있는 일이 별로 없습니다.,5.0
727,당신은 당신 자신의 질문에 대답했어요.,이미 당신은 당신의 질문에 대답했잖아요.,5.0
737,할 수 있겠어?,네가 할 수 있겠어?,5.0
740,너는 그걸 어떻게 하는데?,어떻게 하면 되죠?,5.0
745,그것은 또한 맛의 문제이다.,그것은 확실히 단지 선호의 문제이다.,5.0
755,나는 왜 이 이것에 문제가 있어야 하는지 모르겠다.,나는 왜 이것이 문제가 될 수 있는지 모르겠다.,5.0
756,그것에 대해 당신이 할 수 있는 것은 많지 않다.,나는 정말로 네가 그것에 대해 할 수 있는 것이 많이 있다고 생각하지 않는다.,5.0
757,제대로 짚었구나.,"그래, 너는 받았어.",5.0
765,고려해야 할 두 가지가 있다.,고려해야 할 몇 가지 사항들:,5.0
773,할 수 있겠어?,"그래서, 너 이거 할 수 있겠어?",5.0
775,네가 할 수 있는 몇 가지가 있다.,네가 시도할 수 있는 몇 가지가 있다.,5.0
782,제대로 짚었구나.,제대로 짚었구나.,5.0
783,당신은 당신 자신의 질문에 대답했어요.,당신은 당신 자신의 질문에 꽤나 많이 대답을 했습니다.,5.0
788,당신은 올바른 길에 있다.,넌 올바른 길에 있어.,5.0
805,당신의 목표들은 무엇인가요?,당신의 목표들은 무엇인가요?,5.0
808,몇 가지 더 생각해 볼 점은,몇 가지 생각해볼 것들은,5.0
810,유감스럽게도 우리는 이번 건에서는 운이 다한 것 같다.,나는 이것이 당신이 그저 운이 없는 그런 것들 중 하나라고 생각한다.,5.0
818,그것은 또한 맛의 문제이다.,그것은 대부분 맛의 문제이다.,5.0
823,나는 너와 같은 문제를 가지고 있었다.,나는 방금 같은 문제를 겪었다.,5.0
829,나는 그것이 나쁜 생각이라고 생각하고 있다.,나는 그것이 나쁜 생각이라고 생각한다.,5.0
836,그것은 좋은 생각이 아니야.,좋은 생각이 아니야.,5.0
839,나는 너와 같은 문제를 가지고 있었다.,나는 정확히 같은 문제를 가지고 있다.,5.0
844,고려해야 할 두 가지가 있다.,나는 고려해야 할 두 가지 중요한 것이 있다고 생각한다:,5.0
845,그것은 너에게 꽤나 달려있다.,그건 너에게 달렸다.,5.0
852,세 가지 선택권이 있다.,세 가지 옵션만 있습니다.,5.0
853,그러니 이런 식으로 생각해.,이런 식으로 생각해 봐.,5.0
854,어쩌면 이게 당신에게도 통할 수 있을 것이다.,어쩌면 이것은 당신에게 효과가 있을 수 있다.,5.0
861,이것은 좋은 생각이 아니다.,좋은 생각이 아니야.,5.0
862,"나는 이미 받아들여진 답이 있다는 것을 깨달았지만, 나는 내 2센트를 더할 것이라고 생각한다.","나는 이것이 오래된 질문이라는 것을 알지만, 나는 내 2센트를 더해야 한다고 느낀다.",5.0
870,당신은 실험하고 당신이 좋아하는 것을 찾아야 할지도 모른다.,당신은 당신에게 어떤 게 효과가 있는지 알아내야 한다.,5.0
875,나는 다른 의견들에 동의한다.,나는 이전의 의견들에 동의한다.,5.0
877,그것은 오히려 당신이 어느 나라에 있는지에 달려 있다.,그것은 당신이 어느 나라에 있는지에 달려 있다.,5.0
878,이것은 끔찍한 생각이다.,이것은 나쁜 생각이다.,5.0
886,그러나 오데뜨가 카리브해에서 처음으로 12월에 형성되었다고 센터는 말했다.,12월에 카리브해에서 처음으로 개발된 이름있는 폭풍이다.,4.2
901,다음 법정 회기는 3명의 재판관이 2월 중순에 평결을 발표할 때이다.,법원의 3인 재판소는 다음 2월에 판결이 내려질 것으로 예상되었다.,4.2
904,모핏은 유전자의 장단기 존재 여부를 개인에게 검사하기 전에 다른 연구에서 그 결과가 복제될 필요가 있다고 말했다.,모핏 교수는 유전자의 장단기 버전의 존재에 대한 개인들의 검사를 추구하기 전에 그 결과가 복제되어야 한다고 말했다.,4.75
915,"월마트, 콜스, 패밀리 달러 스토어 주식회사, 그리고 빅 롯 주식회사는 월스트리트의 예상 아래로 떨어진 5월 매출 공지 상인들 중에 있었다.","월마트, 콜스, 패밀리 달러 스토어 주식회사, 그리고 빅 롯 주식회사는 월스트리트의 예상 아래로 떨어진 5월 매출을 공지했다.",4.75
918,"세포의 표면에서, 외부 성분은 다른 세포들에 의해 인식되고, 그 다음 그것이 감염되었다는 것을 알고 죽입니다.",외부의 조각들은 다른 세포들에 의해 인식되고 그것이 감염되었다는 것을 깨닫고 그것을 죽인다.,4.25
922,한 목격자는 아나톨리아인에게 비행기가 공중에 있는 동안 불이 난 것을 보았다고 말했다.,한 목격자는 아나톨리아 뉴스 기관에 그가 공중에서 비행기가 불에 타는 것을 보았다고 말했다.,4.6
924,에스트로겐과 프로게스틴을 결합한 호르몬 대체 요법은 100만 명 이상의 여성을 대상으로 한 영국 연구에서 여성의 유방암 위험을 두 배로 증가시킨다는 것을 발견했다.,영국의 주요 연구는 호르몬 대체 요법이 유방암의 위험을 증가시킨다는 증거에 덧붙여졌다. 특히 여성들이 에스트로겐과 프로게스틴의 조합을 받을 때 더욱 그렇다.,4.25
932,이 보고서는 총 659명의 여성이 이 학원에 등록되어 있다고 말했다.,조사 당시 아카데미에 등록한 여성은 659명이었다.,4.6
940,"피플소프트 경영진이 당신이 믿게끔 하려는 것과는 달리, 오라클은 앞으로 수년 동안 피플소프트의 고객과 제품을 온전히 지원할 계획입니다. ""","엘리슨은 ""피플 소프트 관리의 논쟁과는 달리 오라클은 앞으로 수년 동안 ""피플 소프트 고객과 제품을 완전히 지원할 계획""이라고 말했다.",4.8
947,"두 번째는 HP(27%, 29억 달러, 0.4% 증가)이다.",HP는 서버 판매가 29억 달러로 0.4% 증가하면서 2위로 떨어졌다.,4.4
952,"그러나 영이 링에 들어간 후 처음 30초 동안, 그 가족은 그것이 고르지 못한 경기라는 것을 알았다고 마이어스는 말했다.","그러나 경기 시작 30초 동안 가족들은 그것이 불균일한 경기라는 것을 알고 있었다, 스테이시 영의 여동생 조디 마이어스가 말했다.",4.2
966,이 기관은 8월 22일까지 제출될 경우 8월 15일 예정인 세금 신고서나 납부액을 적시에 고려할 것이다.,이 기관은 8월 22일까지 완료되면 금요일부터 8월 22일까지 납세 신고서나 납부서를 적시에 고려할 것이라고 말했다.,4.25
977,"특수 경찰은 토요일 아침 시베리아의 노보시비르스크 시에서 호도코프스키를 억류했는데, 그의 비행기의 연료 보급을 위해 정지한 곳이다.",경찰은 토요일 아침 시베리아의 노보시비르스크 시에서 그의 제트기가 급유 위해 정지했을 때 호도코프스키를 구금했다.,4.8
981,지도 버그가 대다수의 크론 환자에게 존재한다는 발견은 그것이 거의 확실히 장 염증을 일으키고 있음을 의미합니다.라고 성명서에서 말했다.,연구원들은 대부분의 크론스 환자들에게 지도 버그가 존재한다는 사실은 그것이 거의 확실히 장 염증을 일으키고 있다는 것을 의미한다고 말한다.,4.6
1005,당국은 이 과학자가 12월 10일 사스 증상을 보인 후 집에서 제대로 격리되었다고 말했다.,이 과학자는 또한 사스 증상이 생기자마자 스스로 집에서 격리했다고 관계자들은 말했다.,4.2
1011,"이 장치는 인터넷 라디오 스트림을 재생하며, 30일간의 리얼네트워크의 랩소디 음악 서비스 체험을 시행한다.","이 제품은 또한 인터넷 라디오를 스트리밍과, 리얼네트워크의 랩소디 디지털 음악 구독 서비스를 위한 30일간의 무료 체험을 준다.",5.0
1015,"Sunncomm의 Peter Jacobs에 따르면, ""Medimax는 그것을 구입한 회사에 '광고'와 정확히 같게 수행합니다.","mediamax는 그것을 구입한 회사에 광고""와 정확히 일치하게 수행합니다. ""Jacobs는 성명서에서 말했습니다.",4.222
1017,부시 행정부는 이라크에 입성한 후세인 충신들과 외국 무슬림 무장단체들이 폭격과 게릴라 공격의 공세에 대해 미군과 싸우고 있다고 비난하고 있다.,부시 행정부는 이라크에 입성한 사담 후세인 충신들과 외국 무슬림 무장세력에 대한 폭탄 테러와 게릴라 공격의 공세를 비난하고 있다.,5.0
1020,약 9천 5백만 명의 미국인들 - 전체 가구의 절반 - 뮤추얼 펀드에 투자합니다.,미국 전체 가구의 약 절반이 뮤추얼 펀드에 돈을 가지고 있다.,4.2
1030,도널드 H. 럼즈펠드 국방장관은 화요일 사담 후세인의 이라크에서 폐위된 정권의 완고한 잔당들을 축출하는 데 시간이 걸릴 것이라고 말했다.,도널드 럼즈펠드 국방장관은 화요일 이라크에서 사담 후세인의 폐위된 정권의 완고한 잔당들을 찾는 데 시간이 걸릴 것이라고 말했다.,4.8
1033,레이싱 업계의 소식통들은 폰타나가 다음 시즌부터 노동절 주말에 두 번째 나스카 경주를 할 것이라고 일간 공지에 말했다.,레이싱 업계의 소식통은 폰타나가 다음 시즌부터 노동절 주말에 두 번째 나스카 경주를 할 것이라고 말했다.,4.4
1037,스코필드는 토퍼에게 그녀가 오도넬의 제안과 프로젝트의 많은 부분을 무시했다는 것을 반대심문에서 인정하게 했다.,그러나 도넬의 변호사인 로나 쇼필드의 반대심문에서 토퍼는 그녀가 오도넬의 제안과 프로젝트를 무시했다고 인정했다.,4.5
1038,"이 사건에서, 법원은 신시나티가 미학을 위해 광고 팜플렛만을 금지하여 헌법 수정 제1조를 위반했다고 판결했다.","이 경우, 법원은 신시나티 시가 미학을 위해 광고 팜플렛만을 금지하여 헌법 수정 제1조를 위반했다고 판결했다.",5.0
1054,"이제, 콜럼비아 재난의 여파로 기관의 마지막 세 척의 셔틀들이 좌초된 상황에서, 그 기다림은 더 길어질 수 있다.","남은 세 개의 셔틀이 콜롬비아 사고로 인해 좌초된 상태에서, 신인 선수들은 더 오래 기다려야 할 것이다.",4.4
1061,"의료보험에 대해, NDP는 민영화와 의료 보험료가 없을 것이라고 말한다.",새 민주 당원들은 또한 의료 민영화와 보험료에 대한 그들의 약속을 갱신했다.,4.6
1067,"나는 일본이 계속 개입할 것으로 기대하지만, 그 양은 급격히 떨어질 것 같다.JP 모건 추격전에서 외환 전략가인 junya tanase가 말했다.","JP 모건 체이스에서 외환 전략가인 준야 타나세는 ""나는 일본이 계속 개입할 것으로 기대하지만 그 양은 급격히 떨어질 것 같다.""",4.7330000000000005
1077,나스닥 주식시장에서 코리사 주식은 12센트 하락한 6.88달러를 기록했다.,"코리사 주식은 뉴스에서 거의 주춤하지 않았고, 12센트 줄어 6달러 88센트로 마감했다.",4.5
1088,"디어드레 헤슬러, 정부 협곡의 관리자는 주 정부가 오랫동안 이 재산에 관심을 갖고 있으며, 그것을 얻기 위해 그 거래를 완료하기를 열망하고 있다고 말했다.","디어드레 헤슬러 , 정부 협곡의 관리자는 주 정부가 오랫동안 이 재산을 탐냈으며, 그 거래를 성사시키기를 간절히 원한다고 말했다.",5.0
1100,많은 다른 방식으로 흑인 음악가의 예술성은 우리 역사 전반에 걸쳐 흑인 미국인의 경험을 전달했다라고 부시는 말했다.,"할렘 출신의 가수들에 둘러싸여 부시는 말했다 : ""흑인 음악가들의 예술성은 우리 역사 전반에 걸쳐 흑인 미국인들의 경험을 전달했다""",4.25
1108,그 연구 회사는 이전에 4.9%의 증가를 예상했었다.,그 회사는 올해 초 4.9%의 증가를 예상했었다.,4.8
1115,하지만 경제는 아직 지속 가능한 성장을 보이지 않고 있다.,하지만 경제는 지속 가능한 성장의 조짐을 보이지 않았다.,4.75
1129,"가자인, 이스라엘에 2발의 로켓을 발사 ; 부상 없음",2발의 가자 로켓이 이스라엘 강타 ; 부상 없음,4.8
1144,"이라크, 시리아로 향하는 이란 비행기 수색 : 공식 발표","이라크, 시리아행 이란 비행기 수색",4.2
1149,구카일라이 살인 재판은 중국에서 끝난다.,구카일라이의 살인 재판은 중국에서 끝난다.,5.0
1150,러시아에 자료를 숨기지 않음 : 오바마,오바마는 러시아에 자료를 숨기지 않는다고 말한다.,4.4
1151,잉글랜드 주장 앤드류 스트라우스가 프로 크리켓에서 은퇴하다.,잉글랜드 주장 스트라우스가 크리켓에서 은퇴하다.,4.8
1160,"애플, 보안 회사 오텐텍을 3억 5천 6백만 달러에 사다.",뉴스 요약 : 애플이 오텐텍을 3억 5천 6백만 달러에 사다.,4.4
1168,덴버 총격 : 경찰이 용의자 집의 장치를 폭파,경찰이 콜로라도 총기 난사 용의자 집의 장치를 폭파,4.6
1170,검시관 : 휘트니 휴스턴은 욕조에서 사망했다.,검시관은 휘트니 휴스턴이 욕조에서 발견되었다고 확인해 준다.,4.5
1173,일부 시리아 폭력은 내전에 해당한다 - 적십자,일부 시리아 폭력은 내전으로 인정된다. - 적십자,4.4
1182,좋지 않은 시작: 베를린으로 가는 도중에 번개에 맞은 홀랜드의 비행기,프랑스 대통령 프랑수아 홀랜드의 비행기가 베를린으로 가는 도중 번개에 맞다.,4.4
1183,"아프가니스탄 의회, 주요 각료 축출 투표","아프가니스탄 의회, 주요 각료 축출 투표",4.8
1186,몰디브 전 대통령의 구속 영장,"몰디브 법원, 전 대통령 구속 영장 발부",4.5
1194,2012 런던 올림픽 개막식 '녹색과 쾌적한 땅을 특징으로',런던 2012 올림픽 : 개회식은 '녹색과 쾌적한 땅'이라고 대니 보일이 말한다.,4.2
1200,"푸시 라이엇 멤버 알요키나, 러시아 감옥에서 석방","푸시 라이엇 멤버 마리아 알요키나, 감옥에서 석방",4.4
1203,말리에서 프랑스 언론인 2명 살해,말리에서 두 명의 프랑스 언론인 살해,5.0
1204,붕괴된 일본 터널에서 차량이 불타다.,연기가 일본 터널에서 방출됨에 따라 차량 '불타며 남겨지다',4.2
1209,중국 장군의 아들은 강간죄로 10년형을 선고받는다.,중국 장군의 아들은 윤간으로 10년형을 선고받는다.,4.2
1211,"네덜란드의 베트릭스 여왕, 아들을 위해 퇴위",네덜란드의 베트릭스 여왕은 아들을 위해 퇴위한다.,5.0
1224,넬슨 만델라가 검사를 위해 병원에 있다.,남아프리카 : 만델라가 검사를 위해 병원에 있다.,4.6
1230,다완은 남아프리카를 상대로 크게 이기기 위해 인도를 박살 냈다.,다완 톤은 남아프리카 공화국을 상대로 인도 트로피 우승,4.2
1242,앙키트 차반은 결혼에 대한 조건부 보석금을 승인했다.,앙키트 차반은 결혼하기 위해 보석금을 승인했다.,4.4
1246,습격당한 알제리 가스 공장에서 25구의 시체 발견,알제리 가스 공장에서 25구의 시체 추가 발견,4.4
1252,"뉴질랜드, 동성 결혼 합법화 시작",동성 결혼 합법화에 대한 뉴질랜드의 표결,4.6
1254,노벨상 수상자인 작가 도리스 레싱 사망,노벨 수상자 도리스 레싱 94세 사망,4.6
1255,"시리아 수도에서 인터넷, 전화 서비스 복구",시리아에서 인터넷 서비스 재개,4.2
1262,레바논에서 항공기 조종사를 총잡이가 납치,레바논에서 터키 항공사 조종사 2명을 총잡이가 납치,4.2
1263,"쿠르드족 반군, 3월에 터키에서 철수 : 보고","쿠르드족 반군, 터키에서 철수",4.2
1276,캐나다는 태평양 연안에 송유관을 승인한다.,캐나다 정부는 논란이 되고 있는 송유관을 태평양에 승인한다.,4.8
1287,"CIA의 최고 책임자, 시리아 회담을 위해 이스라엘 방문","CIA의 최고 책임자, 이스라엘에서 시리아 상황 논의",5.0
1293,여성이 유아의 죽음으로 구금되었다. 8살 소녀가 한 동의 아파트에서 죽은 채 발견된 후 한 여성이 살인 혐의로 구금되었다.,어머니가 딸의 죽음으로 잡혔다. 8살 딸이 한 동의 아파트에서 죽은 채 발견된 후 어머니가 살인 혐의로 구금되었다.,4.4
1296,조지아 수상의 협력자가 대통령이 된다. - 출구 조사,조지아 억만장자 수상의 협력자가 대통령이 된다. - 출구 조사,4.6
1307,"그리스, 국영 방송사 중단",돈을 절약하기 위해 국영 방송사를 폐쇄하는 그리스,4.2
1308,과테말라 법원은 전 독재자를 대량학살로 유죄 판결한다.,과테말라의 전 지도자는 대량학살로 유죄 판결을 받았다.,5.0
1312,니마는 브라질을 16강에 진출하게 한다.,니마는 브라질을 월드컵 16강에 진출하게 한다.,4.4
1313,일방적 휴전을 이행하려는 우크라이나,우크라이나가 일방적인 휴전을 제의한다.,4.8
1314,"스톤즈, 제2회 하이드 파크 콘서트 추가","롤링 스톤즈, 제2회 하이드 파크 날짜 추가",5.0
